Standard,ENG,POR,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Dis_blindness,Dis_blindness,Def_cegueira,IN_DEFICIENCIA_CEGUEIRA,IN_DEFICIENCIA_CEGUEIRA,IN_DEFICIENCIA_CEGUEIRA,IN_DEF_CEGUEIRA,IN_DEF_CEGUEIRA,IN_DEF_CEGUEIRA,IN_CEGUEIRA,IN_CEGUEIRA,IN_CEGUEIRA,IN_CEGUEIRA,IN_CEGUEIRA
Dis_low_vision,Dis_low_vision,Def_baixa_visão,IN_DEFICIENCIA_BAIXA_VISAO,IN_DEFICIENCIA_BAIXA_VISAO,IN_DEFICIENCIA_BAIXA_VISAO,IN_DEF_BAIXA_VISAO,IN_DEF_BAIXA_VISAO,IN_DEF_BAIXA_VISAO,IN_BAIXA_VISAO,IN_BAIXA_VISAO,IN_BAIXA_VISAO,IN_BAIXA_VISAO,IN_BAIXA_VISAO
Dis_deaf,Dis_deaf,Def_surdez,IN_DEFICIENCIA_SURDEZ,IN_DEFICIENCIA_SURDEZ,IN_DEFICIENCIA_SURDEZ,IN_DEF_SURDEZ,IN_DEF_SURDEZ,IN_DEF_SURDEZ,IN_SURDEZ,IN_SURDEZ,IN_SURDEZ,IN_SURDEZ,IN_SURDEZ
Dis_hard_hearing,Dis_hard_hearing,Def_auditiva,IN_DEFICIENCIA_AUDITIVA,IN_DEFICIENCIA_AUDITIVA,IN_DEFICIENCIA_AUDITIVA,IN_DEF_AUDITIVA,IN_DEF_AUDITIVA,IN_DEF_AUDITIVA,IN_DEFICIENCIA_AUDITIVA,IN_DEFICIENCIA_AUDITIVA,IN_DEFICIENCIA_AUDITIVA,IN_DEFICIENCIA_AUDITIVA,IN_DEFICIENCIA_AUDITIVA
Dis_physical,Dis_physical,Def_física,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_FISICA,IN_DEF_FISICA,IN_DEF_FISICA,IN_DEF_FISICA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_FISICA
Dis_deaf_blind,Dis_deaf_blind,Def_surdocegueira,IN_DEFICIENCIA_SURDOCEGUEIRA,IN_DEFICIENCIA_SURDOCEGUEIRA,IN_DEFICIENCIA_SURDOCEGUEIRA,IN_DEF_SURDOCEGUEIRA,IN_DEF_SURDOCEGUEIRA,IN_DEF_SURDOCEGUEIRA,IN_SURDOCEGUEIRA,IN_SURDOCEGUEIRA,IN_SURDOCEGUEIRA,IN_SURDOCEGUEIRA,IN_SURDOCEGUEIRA
Dis_multiple,Dis_multiple,Def_multipla,IN_DEFICIENCIA_MULTIPLA,IN_DEFICIENCIA_MULTIPLA,IN_DEFICIENCIA_MULTIPLA,IN_DEF_MULTIPLA,IN_DEF_MULTIPLA,IN_DEF_MULTIPLA,IN_DEFICIENCIA_MULTIPLA,IN_DEFICIENCIA_MULTIPLA,IN_DEFICIENCIA_MULTIPLA,IN_DEFICIENCIA_MULTIPLA,IN_DEFICIENCIA_MULTIPLA
Dis_mental,Dis_mental,Def_intelectual,IN_DEFICIENCIA_INTELECTUAL,IN_DEFICIENCIA_INTELECTUAL,IN_DEFICIENCIA_INTELECTUAL,IN_DEF_INTELECTUAL,IN_DEF_INTELECTUAL,IN_DEF_INTELECTUAL,IN_DEFICIENCIA_INTELECTUAL,IN_DEFICIENCIA_INTELECTUAL,IN_DEFICIENCIA_INTELECTUAL,IN_DEFICIENCIA_INTELECTUAL,IN_DEFICIENCIA_MENTAL
Work_distance_education,Work_distance_education,Atua_EAD,IN_ATUACAO_EAD,IN_ATUACAO_EAD,IN_ATUACAO_EAD,IN_ATU_EAD,IN_ATU_EAD,IN_ATU_EAD,IN_ATU_EAD,IN_ATU_EAD,IN_ATU_EAD,IN_ATU_EAD,IN_ATU_EAD
Work_outreach,Work_outreach,Atua_extensão,IN_ATUACAO_EXTENSAO,IN_ATUACAO_EXTENSAO,IN_ATUACAO_EXTENSAO,IN_ATU_EXTENSAO,IN_ATU_EXTENSAO,IN_ATU_EXTENSAO,IN_ATU_EXTENSAO,IN_ATU_EXTENSAO,IN_ATU_EXTENSAO,IN_ATU_EXTENSAO,IN_ATU_EXTENSAO
Work_administration,Work_administration,Atua_gestão,IN_ATUACAO_GESTAO,IN_ATUACAO_GESTAO,IN_ATUACAO_GESTAO,IN_ATU_GESTAO,IN_ATU_GESTAO,IN_ATU_GESTAO,IN_ATU_GESTAO,IN_ATU_GESTAO,IN_ATU_GESTAO,IN_ATU_GESTAO,IN_ATU_GESTAO
Work_bachelor_F2F,Work_bachelor_F2F,Atua_grad_presencial,IN_ATUACAO_GRAD_PRESENCIAL,IN_ATUACAO_GRAD_PRESENCIAL,IN_ATUACAO_GRAD_PRESENCIAL,IN_ATU_GRAD_PRESENCIAL,IN_ATU_GRAD_PRESENCIAL,IN_ATU_GRAD_PRESENCIAL,IN_ATU_GRAD_PRESENCIAL,IN_ATU_GRAD_PRESENCIAL,IN_ATU_GRAD_PRESENCIAL,IN_ATU_GRAD_PRESENCIAL,IN_ATU_GRAD_PRESENCIAL
Work_specialization_DE,Work_specialization_DE,Atua_pos_EAD,IN_ATUACAO_POS_EAD,IN_ATUACAO_POS_EAD,IN_ATUACAO_POS_EAD,IN_ATU_POS_EAD,IN_ATU_POS_EAD,IN_ATU_POS_EAD,IN_ATU_POS_EAD,IN_ATU_POS_EAD,IN_ATU_POS_EAD,IN_ATU_POS_EAD,IN_ATU_POS_EAD
Work_specialization_F2F,Work_specialization_F2F,Atua_pos_presencial,IN_ATUACAO_POS_PRESENCIAL,IN_ATUACAO_POS_PRESENCIAL,IN_ATUACAO_POS_PRESENCIAL,IN_ATU_POS_PRESENCIAL,IN_ATU_POS_PRESENCIAL,IN_ATU_POS_PRESENCIAL,IN_ATU_POS_PRESENCIAL,IN_ATU_POS_PRESENCIAL,IN_ATU_POS_PRESENCIAL,IN_ATU_POS_PRESENCIAL,IN_ATU_POS_PRESENCIAL
Work_short_programs,Work_short_programs,Atua_sequencial,IN_ATUACAO_SEQUENCIAL,IN_ATUACAO_SEQUENCIAL,IN_ATUACAO_SEQUENCIAL,IN_ATU_SEQUENCIAL,IN_ATU_SEQUENCIAL,IN_ATU_SEQUENCIAL,IN_ATU_SEQUENCIAL,IN_ATU_SEQUENCIAL,IN_ATU_SEQUENCIAL,IN_ATU_SEQUENCIAL,IN_ATU_SEQUENCIAL
Work_research,Work_research,Atua_pesquisa,IN_ATUACAO_PESQUISA,IN_ATUACAO_PESQUISA,IN_ATUACAO_PESQUISA,IN_ATU_PESQUISA,IN_ATU_PESQUISA,IN_ATU_PESQUISA,IN_ATU_PESQUISA,IN_ATU_PESQUISA,IN_ATU_PESQUISA,IN_ATU_PESQUISA,
Research_scholarship,Research_scholarship,Bolsa_pesquisa,IN_BOLSA_PESQUISA,IN_BOLSA_PESQUISA,IN_BOLSA_PESQUISA,IN_BOLSA_PESQUISA,IN_BOLSA_PESQUISA,IN_BOLSA_PESQUISA,IN_BOLSA_PESQUISA,IN_BOLSA_PESQUISA,IN_BOLSA_PESQUISA,IN_BOLSA_PESQUISA,IN_BOLSA_PESQUISA
Substitute,Substitute,Substituto,IN_SUBSTITUTO,IN_SUBSTITUTO,IN_SUBSTITUTO,IN_SUBSTITUTO,IN_SUBSTITUTO,IN_SUBSTITUTO,IN_SUBSTITUTO,IN_SUBSTITUTO,IN_SUBSTITUTO,IN_SUBSTITUTO,IN_SUBSTITUTO
Visiting,Visiting,Visitante,IN_VISITANTE,IN_VISITANTE,IN_VISITANTE,IN_VISITANTE,IN_VISITANTE,IN_VISITANTE,IN_VISITANTE,IN_VISITANTE,IN_VISITANTE,IN_VISITANTE,
