Standard,ENG,POR,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009 not supported yet
Applicants_distance,Applicants_distance,Inscritos_EAD,QT_INSCRITO_TOTAL_EAD,QT_INSCRITO_TOTAL_EAD,QT_INSCRITO_TOTAL_EAD,QT_INSCRITO_TOTAL_EAD,QT_INSC_ANUAL_EAD,QT_INSC_ANUAL_EAD,QT_INSC_ANUAL_EAD,,,,,QT_INSCRITOS_ANO_EAD,QT_INSCRITOS_ANO_EAD,QT_INSCRITOS_ANO_EAD,
Applicants_new,Applicants_new,Inscritos_nova,QT_INSC_VG_NOVA,QT_INSC_VG_NOVA,QT_INSC_VG_NOVA,QT_INSC_VG_NOVA,,,,,,,,,,,
Applicants_selec_process,Applicants_selec_process,Inscritos_proc_seletivo,QT_INSC_PROC_SELETIVO,QT_INSC_PROC_SELETIVO,QT_INSC_PROC_SELETIVO,QT_INSC_PROC_SELETIVO,,,,,,,,,,,
Applicants_remaining,Applicants_remaining,Inscritos_remanecesnte,QT_INSC_VG_REMANESC,QT_INSC_VG_REMANESC,QT_INSC_VG_REMANESC,QT_INSC_VG_REMANESC,,,,,,,,,,,
Applicants_special,Applicants_special,Inscritos_especial,QT_INSC_VG_PROG_ESPECIAL,QT_INSC_VG_PROG_ESPECIAL,QT_INSC_VG_PROG_ESPECIAL,QT_INSC_VG_PROG_ESPECIAL,,,,,,,,,,,
Freshmen_total,Freshmen_total,Ingressante_total,QT_ING,QT_ING,QT_ING,QT_ING,,,,,,,,,,,
Freshmen_sex_fem,Freshmen_sex_fem,Ingressante_sexo_fem,QT_ING_FEM,QT_ING_FEM,QT_ING_FEM,QT_ING_FEM,,,,,,,,,,,
Freshmen_sex_masc,Freshmen_sex_masc,Ingressante_sexo_masc,QT_ING_MASC,QT_ING_MASC,QT_ING_MASC,QT_ING_MASC,,,,,,,,,,,
Freshmen_shift_day,Freshmen_shift_day,Ingressante_turno_diurno,QT_ING_DIURNO,QT_ING_DIURNO,QT_ING_DIURNO,QT_ING_DIURNO,,,,,,,,,,,
Freshmen_shift_evening,Freshmen_shift_evening,Ingressante_turno_noturno,QT_ING_NOTURNO,QT_ING_NOTURNO,QT_ING_NOTURNO,QT_ING_NOTURNO,,,,,,,,,,,
Freshmen_selec_vestibular,Freshmen_selec_vestibular,Ingressante_selec_vestibular,QT_ING_VESTIBULAR,QT_ING_VESTIBULAR,QT_ING_VESTIBULAR,QT_ING_VESTIBULAR,,,,,,,,,,,
Freshmen_selec_ENEM,Freshmen_selec_ENEM,Ingressante_selec_ENEM,QT_ING_ENEM,QT_ING_ENEM,QT_ING_ENEM,QT_ING_ENEM,,,,,,,,,,,
Freshmen_selec_serial,Freshmen_selec_serial,Ingressante_selec_seriada,QT_ING_AVALIACAO_SERIADA,QT_ING_AVALIACAO_SERIADA,QT_ING_AVALIACAO_SERIADA,QT_ING_AVALIACAO_SERIADA,,,,,,,,,,,
Freshmen_selec_simplified,Freshmen_selec_simplified,Ingressante_selec_simplificada,QT_ING_SELECAO_SIMPLIFICA,QT_ING_SELECAO_SIMPLIFICA,QT_ING_SELECAO_SIMPLIFICA,QT_ING_SELECAO_SIMPLIFICA,,,,,,,,,,,
Freshmen_selec_EGR,Freshmen_selec_EGR,Ingressante_selec_EGR,QT_ING_EGR,QT_ING_EGR,QT_ING_EGR,QT_ING_EGR,,,,,,,,,,,
Freshmen_selec_other,Freshmen_selec_other,Ingressante_selec_nova,QT_ING_OUTRO_TIPO_SELECAO,QT_ING_OUTRO_TIPO_SELECAO,QT_ING_OUTRO_TIPO_SELECAO,QT_ING_OUTRO_TIPO_SELECAO,,,,,,,,,,,
Freshmen_selec_process,Freshmen_selec_process,Ingressante_proc_seletivo,QT_ING_PROC_SELETIVO,QT_ING_PROC_SELETIVO,QT_ING_PROC_SELETIVO,QT_ING_PROC_SELETIVO,,,,,,,,,,,
Freshmen_place_new,Freshmen_place_new,Ingressante_vaga_nova,QT_ING_VG_NOVA,QT_ING_VG_NOVA,QT_ING_VG_NOVA,QT_ING_VG_NOVA,,,,,,,,,,,
Freshmen_place_remaining,Freshmen_place_remaining,Ingressante_vaga_remanecesnte,QT_ING_VG_REMANESC,QT_ING_VG_REMANESC,QT_ING_VG_REMANESC,QT_ING_VG_REMANESC,,,,,,,,,,,
Freshmen_place_special,Freshmen_place_special,Ingressante_vaga_especial,QT_ING_VG_PROG_ESPECIAL,QT_ING_VG_PROG_ESPECIAL,QT_ING_VG_PROG_ESPECIAL,QT_ING_VG_PROG_ESPECIAL,,,,,,,,,,,
Freshmen_place_other,Freshmen_place_other,Ingressante_vaga_nova,QT_ING_OUTRA_FORMA,QT_ING_OUTRA_FORMA,QT_ING_OUTRA_FORMA,QT_ING_OUTRA_FORMA,,,,,,,,,,,
Freshmen_age_0-17,Freshmen_age_0-17,Ingressante_idade_0-17,QT_ING_0_17,QT_ING_0_17,QT_ING_0_17,QT_ING_0_17,,,,,,,,,,,
Freshmen_age_18-24,Freshmen_age_18-24,Ingressante_idade_18-24,QT_ING_18_24,QT_ING_18_24,QT_ING_18_24,QT_ING_18_24,,,,,,,,,,,
Freshmen_age_25-29,Freshmen_age_25-29,Ingressante_idade_25-29,QT_ING_25_29,QT_ING_25_29,QT_ING_25_29,QT_ING_25_29,,,,,,,,,,,
Freshmen_age_30-34,Freshmen_age_30-34,Ingressante_idade_30-34,QT_ING_30_34,QT_ING_30_34,QT_ING_30_34,QT_ING_30_34,,,,,,,,,,,
Freshmen_age_35-39,Freshmen_age_35-39,Ingressante_idade_35-39,QT_ING_35_39,QT_ING_35_39,QT_ING_35_39,QT_ING_35_39,,,,,,,,,,,
Freshmen_age_40-49,Freshmen_age_40-49,Ingressante_idade_40-49,QT_ING_40_49,QT_ING_40_49,QT_ING_40_49,QT_ING_40_49,,,,,,,,,,,
Freshmen_age_50-59,Freshmen_age_50-59,Ingressante_idade_50-59,QT_ING_50_59,QT_ING_50_59,QT_ING_50_59,QT_ING_50_59,,,,,,,,,,,
Freshmen_age_60+,Freshmen_age_60+,Ingressante_idade_60+,QT_ING_60_MAIS,QT_ING_60_MAIS,QT_ING_60_MAIS,QT_ING_60_MAIS,,,,,,,,,,,
Freshmen_race_white,Freshmen_race_white,Ingressante_raça_branca,QT_ING_BRANCA,QT_ING_BRANCA,QT_ING_BRANCA,QT_ING_BRANCA,,,,,,,,,,,
Freshmen_race_black,Freshmen_race_black,Ingressante_raça_preta,QT_ING_PRETA,QT_ING_PRETA,QT_ING_PRETA,QT_ING_PRETA,,,,,,,,,,,
Freshmen_race_brown,Freshmen_race_brown,Ingressante_raça_parda,QT_ING_PARDA,QT_ING_PARDA,QT_ING_PARDA,QT_ING_PARDA,,,,,,,,,,,
Freshmen_race_yellow,Freshmen_race_yellow,Ingressante_raça_amarela,QT_ING_AMARELA,QT_ING_AMARELA,QT_ING_AMARELA,QT_ING_AMARELA,,,,,,,,,,,
Freshmen_race_indigenous,Freshmen_race_indigenous,Ingressante_raça_indígena,QT_ING_INDIGENA,QT_ING_INDIGENA,QT_ING_INDIGENA,QT_ING_INDIGENA,,,,,,,,,,,
Freshmen_race_undisclosed,Freshmen_race_undisclosed,Ingressante_raça_não_informada,QT_ING_CORND,QT_ING_CORND,QT_ING_CORND,QT_ING_CORND,,,,,,,,,,,
Freshmen_brazilian,Freshmen_brazilian,Ingressante_brasileiro,QT_ING_NACBRAS,QT_ING_NACBRAS,QT_ING_NACBRAS,QT_ING_NACBRAS,,,,,,,,,,,
Freshmen_disabilities,Freshmen_disabilities,Ingressante_deficiência,QT_ING_DEFICIENTE,QT_ING_DEFICIENTE,QT_ING_DEFICIENTE,QT_ING_DEFICIENTE,,,,,,,,,,,
Enrollment_total,Enrollment_total,Matrícula_total,QT_MAT,QT_MAT,QT_MAT,QT_MAT,,,,,,,,,,,
Enrollment_sex_fem,Enrollment_sex_fem,Matrícula_sexo_fem,QT_MAT_FEM,QT_MAT_FEM,QT_MAT_FEM,QT_MAT_FEM,,,,,,,,,,,
Enrollment_sex_masc,Enrollment_sex_masc,Matrícula_sexo_masc,QT_MAT_MASC,QT_MAT_MASC,QT_MAT_MASC,QT_MAT_MASC,,,,,,,,,,,
Enrollment_shift_day,Enrollment_shift_day,Matrícula_turno_diurno,QT_MAT_DIURNO,QT_MAT_DIURNO,QT_MAT_DIURNO,QT_MAT_DIURNO,,,,,,,,,,,
Enrollment_shift_evening,Enrollment_shift_evening,Matrícula_turno_noturno,QT_MAT_NOTURNO,QT_MAT_NOTURNO,QT_MAT_NOTURNO,QT_MAT_NOTURNO,,,,,,,,,,,
Enrollment_age_0-17,Enrollment_age_0-17,Matrícula_idade_0-17,QT_MAT_0_17,QT_MAT_0_17,QT_MAT_0_17,QT_MAT_0_17,,,,,,,,,,,
Enrollment_age_18-24,Enrollment_age_18-24,Matrícula_idade_18-24,QT_MAT_18_24,QT_MAT_18_24,QT_MAT_18_24,QT_MAT_18_24,,,,,,,,,,,
Enrollment_age_25-29,Enrollment_age_25-29,Matrícula_idade_25-29,QT_MAT_25_29,QT_MAT_25_29,QT_MAT_25_29,QT_MAT_25_29,,,,,,,,,,,
Enrollment_age_30-34,Enrollment_age_30-34,Matrícula_idade_30-34,QT_MAT_30_34,QT_MAT_30_34,QT_MAT_30_34,QT_MAT_30_34,,,,,,,,,,,
Enrollment_age_35-39,Enrollment_age_35-39,Matrícula_idade_35-39,QT_MAT_35_39,QT_MAT_35_39,QT_MAT_35_39,QT_MAT_35_39,,,,,,,,,,,
Enrollment_age_40-49,Enrollment_age_40-49,Matrícula_idade_40-49,QT_MAT_40_49,QT_MAT_40_49,QT_MAT_40_49,QT_MAT_40_49,,,,,,,,,,,
Enrollment_age_50-59,Enrollment_age_50-59,Matrícula_idade_50-59,QT_MAT_50_59,QT_MAT_50_59,QT_MAT_50_59,QT_MAT_50_59,,,,,,,,,,,
Enrollment_age_60+,Enrollment_age_60+,Matrícula_idade_60+,QT_MAT_60_MAIS,QT_MAT_60_MAIS,QT_MAT_60_MAIS,QT_MAT_60_MAIS,,,,,,,,,,,
Enrollment_race_white,Enrollment_race_white,Matrícula_raça_branca,QT_MAT_BRANCA,QT_MAT_BRANCA,QT_MAT_BRANCA,QT_MAT_BRANCA,,,,,,,,,,,
Enrollment_race_black,Enrollment_race_black,Matrícula_raça_preta,QT_MAT_PRETA,QT_MAT_PRETA,QT_MAT_PRETA,QT_MAT_PRETA,,,,,,,,,,,
Enrollment_race_brown,Enrollment_race_brown,Matrícula_raça_parda,QT_MAT_PARDA,QT_MAT_PARDA,QT_MAT_PARDA,QT_MAT_PARDA,,,,,,,,,,,
Enrollment_race_yellow,Enrollment_race_yellow,Matrícula_raça_amarela,QT_MAT_AMARELA,QT_MAT_AMARELA,QT_MAT_AMARELA,QT_MAT_AMARELA,,,,,,,,,,,
Enrollment_race_indigenous,Enrollment_race_indigenous,Matrícula_raça_indígena,QT_MAT_INDIGENA,QT_MAT_INDIGENA,QT_MAT_INDIGENA,QT_MAT_INDIGENA,,,,,,,,,,,
Enrollment_race_undisclosed,Enrollment_race_undisclosed,Matrícula_raça_não_informada,QT_MAT_CORND,QT_MAT_CORND,QT_MAT_CORND,QT_MAT_CORND,,,,,,,,,,,
Enrollment_brazilian,Enrollment_brazilian,Matrícula_brasileiro,QT_MAT_NACBRAS,QT_MAT_NACBRAS,QT_MAT_NACBRAS,QT_MAT_NACBRAS,,,,,,,,,,,
Enrollment_disabilities,Enrollment_disabilities,Matrícula_deficiência,QT_MAT_DEFICIENTE,QT_MAT_DEFICIENTE,QT_MAT_DEFICIENTE,QT_MAT_DEFICIENTE,,,,,,,,,,,
Senior_total,Senior_total,Concluinte_total,QT_CONC,QT_CONC,QT_CONC,QT_CONC,,,,,,,,,,,
Senior_sex_fem,Senior_sex_fem,Concluinte_sexo_fem,QT_CONC_FEM,QT_CONC_FEM,QT_CONC_FEM,QT_CONC_FEM,,,,,,,,,,,
Senior_sex_masc,Senior_sex_masc,Concluinte_sexo_masc,QT_CONC_MASC,QT_CONC_MASC,QT_CONC_MASC,QT_CONC_MASC,,,,,,,,,,,
Senior_shift_day,Senior_shift_day,Concluinte_turno_diurno,QT_CONC_DIURNO,QT_CONC_DIURNO,QT_CONC_DIURNO,QT_CONC_DIURNO,,,,,,,,,,,
Senior_shift_evening,Senior_shift_evening,Concluinte_turno_noturno,QT_CONC_NOTURNO,QT_CONC_NOTURNO,QT_CONC_NOTURNO,QT_CONC_NOTURNO,,,,,,,,,,,
Senior_age_0-17,Senior_age_0-17,Concluinte_idade_0-17,QT_CONC_0_17,QT_CONC_0_17,QT_CONC_0_17,QT_CONC_0_17,,,,,,,,,,,
Senior_age_18-24,Senior_age_18-24,Concluinte_idade_18-24,QT_CONC_18_24,QT_CONC_18_24,QT_CONC_18_24,QT_CONC_18_24,,,,,,,,,,,
Senior_age_25-29,Senior_age_25-29,Concluinte_idade_25-29,QT_CONC_25_29,QT_CONC_25_29,QT_CONC_25_29,QT_CONC_25_29,,,,,,,,,,,
Senior_age_30-34,Senior_age_30-34,Concluinte_idade_30-34,QT_CONC_30_34,QT_CONC_30_34,QT_CONC_30_34,QT_CONC_30_34,,,,,,,,,,,
Senior_age_35-39,Senior_age_35-39,Concluinte_idade_35-39,QT_CONC_35_39,QT_CONC_35_39,QT_CONC_35_39,QT_CONC_35_39,,,,,,,,,,,
Senior_age_40-49,Senior_age_40-49,Concluinte_idade_40-49,QT_CONC_40_49,QT_CONC_40_49,QT_CONC_40_49,QT_CONC_40_49,,,,,,,,,,,
Senior_age_50-59,Senior_age_50-59,Concluinte_idade_50-59,QT_CONC_50_59,QT_CONC_50_59,QT_CONC_50_59,QT_CONC_50_59,,,,,,,,,,,
Senior_age_60+,Senior_age_60+,Concluinte_idade_60+,QT_CONC_60_MAIS,QT_CONC_60_MAIS,QT_CONC_60_MAIS,QT_CONC_60_MAIS,,,,,,,,,,,
Senior_race_white,Senior_race_white,Concluinte_raça_branca,QT_CONC_BRANCA,QT_CONC_BRANCA,QT_CONC_BRANCA,QT_CONC_BRANCA,,,,,,,,,,,
Senior_race_black,Senior_race_black,Concluinte_raça_preta,QT_CONC_PRETA,QT_CONC_PRETA,QT_CONC_PRETA,QT_CONC_PRETA,,,,,,,,,,,
Senior_race_brown,Senior_race_brown,Concluinte_raça_parda,QT_CONC_PARDA,QT_CONC_PARDA,QT_CONC_PARDA,QT_CONC_PARDA,,,,,,,,,,,
Senior_race_yellow,Senior_race_yellow,Concluinte_raça_amarela,QT_CONC_AMARELA,QT_CONC_AMARELA,QT_CONC_AMARELA,QT_CONC_AMARELA,,,,,,,,,,,
Senior_race_indigenous,Senior_race_indigenous,Concluinte_raça_indígena,QT_CONC_INDIGENA,QT_CONC_INDIGENA,QT_CONC_INDIGENA,QT_CONC_INDIGENA,,,,,,,,,,,
Senior_race_undisclosed,Senior_race_undisclosed,Concluinte_raça_não_informada,QT_CONC_CORND,QT_CONC_CORND,QT_CONC_CORND,QT_CONC_CORND,,,,,,,,,,,
Senior_brazilian,Senior_brazilian,Concluinte_brasileiro,QT_CONC_NACBRAS,QT_CONC_NACBRAS,QT_CONC_NACBRAS,QT_CONC_NACBRAS,,,,,,,,,,,
Senior_disabilities,Senior_disabilities,Concluinte_deficiência,QT_CONC_DEFICIENTE,QT_CONC_DEFICIENTE,QT_CONC_DEFICIENTE,QT_CONC_DEFICIENTE,,,,,,,,,,,
Freshmen_financial_aid,Freshmen_financial_aid,Ingressante_financiamento,QT_ING_FINANC,QT_ING_FINANC,QT_ING_FINANC,QT_ING_FINANC,,,,,,,,,,,
Freshmen_loan_total,Freshmen_loan_total,Ingressante_empréstimo_total,QT_ING_FINANC_REEMB,QT_ING_FINANC_REEMB,QT_ING_FINANC_REEMB,QT_ING_FINANC_REEMB,,,,,,,,,,,
Freshmen_loan_FIES_total,Freshmen_loan_FIES_total,Ingressante_empréstimo_FIES_total,QT_ING_FIES,QT_ING_FIES,QT_ING_FIES,QT_ING_FIES,,,,,,,,,,,
Freshmen_loan_HEI,Freshmen_loan_HEI,Ingressante_empréstimo_IES,QT_ING_RPFIES,QT_ING_RPFIES,QT_ING_RPFIES,QT_ING_RPFIES,,,,,,,,,,,
Freshmen_loan_other,Freshmen_loan_other,Ingressante_empréstimo_nova,QT_ING_FINANC_REEMB_OUTROS,QT_ING_FINANC_REEMB_OUTROS,QT_ING_FINANC_REEMB_OUTROS,QT_ING_FINANC_REEMB_OUTROS,,,,,,,,,,,
Freshmen_scholarship_total,Freshmen_scholarship_total,Ingressante_bolsa_total,QT_ING_FINANC_NREEMB,QT_ING_FINANC_NREEMB,QT_ING_FINANC_NREEMB,QT_ING_FINANC_NREEMB,,,,,,,,,,,
Freshmen_scholarship_PROUNI_full,Freshmen_scholarship_PROUNI_full,Ingressante_bolsa_PROUNI_completa,QT_ING_PROUNII,QT_ING_PROUNII,QT_ING_PROUNII,QT_ING_PROUNII,,,,,,,,,,,
Freshmen_scholarship_PROUNI_part,Freshmen_scholarship_PROUNI_part,Ingressante_bolsa_PROUNI_parcial,QT_ING_PROUNIP,QT_ING_PROUNIP,QT_ING_PROUNIP,QT_ING_PROUNIP,,,,,,,,,,,
Freshmen_scholarship_HEI,Freshmen_scholarship_HEI,Ingressante_bolsa_IES,QT_ING_NRPFIES,QT_ING_NRPFIES,QT_ING_NRPFIES,QT_ING_NRPFIES,,,,,,,,,,,
Freshmen_scholarship_others,Freshmen_scholarship_others,Ingressante_bolsa_outro,QT_ING_FINANC_NREEMB_OUTROS,QT_ING_FINANC_NREEMB_OUTROS,QT_ING_FINANC_NREEMB_OUTROS,QT_ING_FINANC_NREEMB_OUTROS,,,,,,,,,,,
Enrollment_financial_aid,Enrollment_financial_aid,Matrícula_financiamento,QT_MAT_FINANC,QT_MAT_FINANC,QT_MAT_FINANC,QT_MAT_FINANC,,,,,,,,,,,
Enrollment_loan_total,Enrollment_loan_total,Matrícula_empréstimo_total,QT_MAT_FINANC_REEMB,QT_MAT_FINANC_REEMB,QT_MAT_FINANC_REEMB,QT_MAT_FINANC_REEMB,,,,,,,,,,,
Enrollment_loan_FIES_total,Enrollment_loan_FIES_total,Matrícula_empréstimo_FIES_total,QT_MAT_FIES,QT_MAT_FIES,QT_MAT_FIES,QT_MAT_FIES,,,,,,,,,,,
Enrollment_loan_HEI,Enrollment_loan_HEI,Matrícula_empréstimo_IES,QT_MAT_RPFIES,QT_MAT_RPFIES,QT_MAT_RPFIES,QT_MAT_RPFIES,,,,,,,,,,,
Enrollment_loan_other,Enrollment_loan_other,Matrícula_empréstimo_nova,QT_MAT_FINANC_REEMB_OUTROS,QT_MAT_FINANC_REEMB_OUTROS,QT_MAT_FINANC_REEMB_OUTROS,QT_MAT_FINANC_REEMB_OUTROS,,,,,,,,,,,
Enrollment_scholarship_total,Enrollment_scholarship_total,Matrícula_bolsa_total,QT_MAT_FINANC_NREEMB,QT_MAT_FINANC_NREEMB,QT_MAT_FINANC_NREEMB,QT_MAT_FINANC_NREEMB,,,,,,,,,,,
Enrollment_scholarship_PROUNI_full,Enrollment_scholarship_PROUNI_full,Matrícula_bolsa_PROUNI_completa,QT_MAT_PROUNII,QT_MAT_PROUNII,QT_MAT_PROUNII,QT_MAT_PROUNII,,,,,,,,,,,
Enrollment_scholarship_PROUNI_part,Enrollment_scholarship_PROUNI_part,Matrícula_bolsa_PROUNI_parcial,QT_MAT_PROUNIP,QT_MAT_PROUNIP,QT_MAT_PROUNIP,QT_MAT_PROUNIP,,,,,,,,,,,
Enrollment_scholarship_HEI,Enrollment_scholarship_HEI,Matrícula_bolsa_IES,QT_MAT_NRPFIES,QT_MAT_NRPFIES,QT_MAT_NRPFIES,QT_MAT_NRPFIES,,,,,,,,,,,
Enrollment_scholarship_others,Enrollment_scholarship_others,Matrícula_bolsa_outro,QT_MAT_FINANC_NREEMB_OUTROS,QT_MAT_FINANC_NREEMB_OUTROS,QT_MAT_FINANC_NREEMB_OUTROS,QT_MAT_FINANC_NREEMB_OUTROS,,,,,,,,,,,
Senior_financial_aid,Senior_financial_aid,Concluinte_financiamento,QT_CONC_FINANC,QT_CONC_FINANC,QT_CONC_FINANC,QT_CONC_FINANC,,,,,,,,,,,
Senior_loan_total,Senior_loan_total,Concluinte_empréstimo_total,QT_CONC_FINANC_REEMB,QT_CONC_FINANC_REEMB,QT_CONC_FINANC_REEMB,QT_CONC_FINANC_REEMB,,,,,,,,,,,
Senior_loan_FIES_total,Senior_loan_FIES_total,Concluinte_empréstimo_FIES_total,QT_CONC_FIES,QT_CONC_FIES,QT_CONC_FIES,QT_CONC_FIES,,,,,,,,,,,
Senior_loan_HEI,Senior_loan_HEI,Concluinte_empréstimo_IES,QT_CONC_RPFIES,QT_CONC_RPFIES,QT_CONC_RPFIES,QT_CONC_RPFIES,,,,,,,,,,,
Senior_loan_other,Senior_loan_other,Concluinte_empréstimo_nova,QT_CONC_FINANC_REEMB_OUTROS,QT_CONC_FINANC_REEMB_OUTROS,QT_CONC_FINANC_REEMB_OUTROS,QT_CONC_FINANC_REEMB_OUTROS,,,,,,,,,,,
Senior_scholarship_total,Senior_scholarship_total,Concluinte_bolsa_total,QT_CONC_FINANC_NREEMB,QT_CONC_FINANC_NREEMB,QT_CONC_FINANC_NREEMB,QT_CONC_FINANC_NREEMB,,,,,,,,,,,
Senior_scholarship_PROUNI_full,Senior_scholarship_PROUNI_full,Concluinte_bolsa_PROUNI_completa,QT_CONC_PROUNII,QT_CONC_PROUNII,QT_CONC_PROUNII,QT_CONC_PROUNII,,,,,,,,,,,
Senior_scholarship_PROUNI_part,Senior_scholarship_PROUNI_part,Concluinte_bolsa_PROUNI_parcial,QT_CONC_PROUNIP,QT_CONC_PROUNIP,QT_CONC_PROUNIP,QT_CONC_PROUNIP,,,,,,,,,,,
Senior_scholarship_HEI,Senior_scholarship_HEI,Concluinte_bolsa_IES,QT_CONC_NRPFIES,QT_CONC_NRPFIES,QT_CONC_NRPFIES,QT_CONC_NRPFIES,,,,,,,,,,,
Senior_scholarship_others,Senior_scholarship_others,Concluinte_bolsa_outro,QT_CONC_FINANC_NREEMB_OUTROS,QT_CONC_FINANC_NREEMB_OUTROS,QT_CONC_FINANC_NREEMB_OUTROS,QT_CONC_FINANC_NREEMB_OUTROS,,,,,,,,,,,
Freshmen_quotas,Freshmen_quotas,Ingressante_cotas,QT_ING_RESERVA_VAGA,QT_ING_RESERVA_VAGA,QT_ING_RESERVA_VAGA,QT_ING_RESERVA_VAGA,,,,,,,,,,,
Freshmen_quotas_public_school,Freshmen_quotas_public_school,Ingressante_cotas_pública_escola,QT_ING_RVREDEPUBLICA,QT_ING_RVREDEPUBLICA,QT_ING_RVREDEPUBLICA,QT_ING_RVREDEPUBLICA,,,,,,,,,,,
Freshmen_quotas_race,Freshmen_quotas_race,Ingressante_cotas_raça,QT_ING_RVETNICO,QT_ING_RVETNICO,QT_ING_RVETNICO,QT_ING_RVETNICO,,,,,,,,,,,
Freshmen_quotas_disabilities,Freshmen_quotas_disabilities,Ingressante_cotas_deficiência,QT_ING_RVPDEF,QT_ING_RVPDEF,QT_ING_RVPDEF,QT_ING_RVPDEF,,,,,,,,,,,
Freshmen_quotas_low_income,Freshmen_quotas_low_income,Ingressante_cotas_low_income,QT_ING_RVSOCIAL_RF,QT_ING_RVSOCIAL_RF,QT_ING_RVSOCIAL_RF,QT_ING_RVSOCIAL_RF,,,,,,,,,,,
Freshmen_quotas_other,Freshmen_quotas_other,Ingressante_cotas_nova,QT_ING_RVOUTROS,QT_ING_RVOUTROS,QT_ING_RVOUTROS,QT_ING_RVOUTROS,,,,,,,,,,,
Enrollment_quotas,Enrollment_quotas,Matrícula_cotas,QT_MAT_RESERVA_VAGA,QT_MAT_RESERVA_VAGA,QT_MAT_RESERVA_VAGA,QT_MAT_RESERVA_VAGA,,,,,,,,,,,
Enrollment_quotas_public_school,Enrollment_quotas_public_school,Matrícula_cotas_pública_escola,QT_MAT_RVREDEPUBLICA,QT_MAT_RVREDEPUBLICA,QT_MAT_RVREDEPUBLICA,QT_MAT_RVREDEPUBLICA,,,,,,,,,,,
Enrollment_quotas_race,Enrollment_quotas_race,Matrícula_cotas_raça,QT_MAT_RVETNICO,QT_MAT_RVETNICO,QT_MAT_RVETNICO,QT_MAT_RVETNICO,,,,,,,,,,,
Enrollment_quotas_disabilities,Enrollment_quotas_disabilities,Matrícula_cotas_deficiência,QT_MAT_RVPDEF,QT_MAT_RVPDEF,QT_MAT_RVPDEF,QT_MAT_RVPDEF,,,,,,,,,,,
Enrollment_quotas_low_income,Enrollment_quotas_low_income,Matrícula_cotas_low_income,QT_MAT_RVSOCIAL_RF,QT_MAT_RVSOCIAL_RF,QT_MAT_RVSOCIAL_RF,QT_MAT_RVSOCIAL_RF,,,,,,,,,,,
Enrollment_quotas_other,Enrollment_quotas_other,Matrícula_cotas_nova,QT_MAT_RVOUTROS,QT_MAT_RVOUTROS,QT_MAT_RVOUTROS,QT_MAT_RVOUTROS,,,,,,,,,,,
Senior_quotas,Senior_quotas,Concluinte_cotas,QT_CONC_RESERVA_VAGA,QT_CONC_RESERVA_VAGA,QT_CONC_RESERVA_VAGA,QT_CONC_RESERVA_VAGA,,,,,,,,,,,
Senior_quotas_public_school,Senior_quotas_public_school,Concluinte_cotas_pública_escola,QT_CONC_RVREDEPUBLICA,QT_CONC_RVREDEPUBLICA,QT_CONC_RVREDEPUBLICA,QT_CONC_RVREDEPUBLICA,,,,,,,,,,,
Senior_quotas_race,Senior_quotas_race,Concluinte_cotas_raça,QT_CONC_RVETNICO,QT_CONC_RVETNICO,QT_CONC_RVETNICO,QT_CONC_RVETNICO,,,,,,,,,,,
Senior_quotas_disabilities,Senior_quotas_disabilities,Concluinte_cotas_deficiência,QT_CONC_RVPDEF,QT_CONC_RVPDEF,QT_CONC_RVPDEF,QT_CONC_RVPDEF,,,,,,,,,,,
Senior_quotas_low_income,Senior_quotas_low_income,Concluinte_cotas_renda,QT_CONC_RVSOCIAL_RF,QT_CONC_RVSOCIAL_RF,QT_CONC_RVSOCIAL_RF,QT_CONC_RVSOCIAL_RF,,,,,,,,,,,
Senior_quotas_other,Senior_quotas_other,Concluinte_cotas_nova,QT_CONC_RVOUTROS,QT_CONC_RVOUTROS,QT_CONC_RVOUTROS,QT_CONC_RVOUTROS,,,,,,,,,,,
Students_status_hiatus,Students_status_hiatus,Alunos_status_trancado,QT_SIT_TRANCADA,QT_SIT_TRANCADA,QT_SIT_TRANCADA,QT_SIT_TRANCADA,,,,,,,,,,,
Students_status_leave,Students_status_leave,Alunos_status_desvinculado,QT_SIT_DESVINCULADO,QT_SIT_DESVINCULADO,QT_SIT_DESVINCULADO,QT_SIT_DESVINCULADO,,,,,,,,,,,
Students_status_transferred,Students_status_transferred,Alunos_status_transferido,QT_SIT_TRANSFERIDO,QT_SIT_TRANSFERIDO,QT_SIT_TRANSFERIDO,QT_SIT_TRANSFERIDO,,,,,,,,,,,
Students_status_deceased,Students_status_deceased,Alunos_status_falecido,QT_SIT_FALECIDO,QT_SIT_FALECIDO,QT_SIT_FALECIDO,QT_SIT_FALECIDO,,,,,,,,,,,
Freshmen_school_public,Freshmen_school_public,Ingressante_escola_pública,QT_ING_PROCESCPUBLICA,QT_ING_PROCESCPUBLICA,QT_ING_PROCESCPUBLICA,QT_ING_PROCESCPUBLICA,,,,,,,,,,,
Freshmen_school_private,Freshmen_school_private,Ingressante_escola_particular,QT_ING_PROCESCPRIVADA,QT_ING_PROCESCPRIVADA,QT_ING_PROCESCPRIVADA,QT_ING_PROCESCPRIVADA,,,,,,,,,,,
