Standard,ENG,POR,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009 not supported yet
Sequential,Sequential,Sequencial,TP_NIVEL_ACADEMICO,TP_NIVEL_ACADEMICO,TP_NIVEL_ACADEMICO,TP_NIVEL_ACADEMICO,TP_NIVEL_ACADEMICO,TP_NIVEL_ACADEMICO,TP_NIVEL_ACADEMICO,CO_NIVEL_ACADEMICO,CO_NIVEL_ACADEMICO,CO_NIVEL_ACADEMICO,CO_NIVEL_ACADEMICO,CO_NIVEL_ACADEMICO,CO_NIVEL_ACADEMICO,CO_NIVEL_ACADEMICO,CO_NIVEL_ACADEMICO
Workload_total,Workload_total,,,,,,NU_CARGA_HORARIA,NU_CARGA_HORARIA,NU_CARGA_HORARIA,NU_CARGA_HORARIA,NU_CARGA_HORARIA,NU_CARGA_HORARIA,NU_CARGA_HORARIA,NU_CARGA_HORARIA,NU_CARGA_HORARIA,NU_CARGA_HORARIA,NU_CARGA_HORARIA
Workload_distance_perc,Workload_distance_perc,,,,,,NU_PERC_CARGA_SEMI_PRES,NU_PERC_CARGA_SEMI_PRES,NU_PERC_CARGA_SEMI_PRES,NU_PERC_CAR_HOR_SEMI_PRES,NU_PERC_CAR_HOR_SEMI_PRES,NU_PERC_CAR_HOR_SEMI_PRES,NU_PERC_CAR_HOR_SEMI_PRES,NU_PERC_CARGA_HOR_DISTANCIA,NU_PERC_CARGA_HOR_DISTANCIA,NU_PERC_CARGA_HOR_DISTANCIA,NU_PERC_CARGA_HOR_DISTANCIA
Program_amount,Program_amount,Curso_quantidade,QT_CURSO,QT_CURSO,QT_CURSO,QT_CURSO,,,,,,,,,,,
Places_total,Places_total,Vagas_total,QT_VG_TOTAL,QT_VG_TOTAL,QT_VG_TOTAL,QT_VG_TOTAL,QT_VAGA_TOTAL,QT_VAGA_TOTAL,QT_VAGA_TOTAL,QT_VAGAS_TOTAIS,,,,,,,
Places_new_full-time,,,,,,,QT_VAGAS_NOVAS_INTEGRAL,QT_VAGAS_NOVAS_INTEGRAL,QT_VAGAS_NOVAS_INTEGRAL,QT_VAGAS_NOVAS_INTEGRAL,QT_VAGAS_NOVAS_INTEGRAL,QT_VAGAS_NOVAS_INTEGRAL,,,,,
Places_new_morning,,,,,,,QT_VAGAS_NOVAS_MATUTINO,QT_VAGAS_NOVAS_MATUTINO,QT_VAGAS_NOVAS_MATUTINO,QT_VAGAS_NOVAS_MATUTINO,QT_VAGAS_NOVAS_MATUTINO,QT_VAGAS_NOVAS_MATUTINO,,,,,
Places_new_afternoon,,,,,,,QT_VAGAS_NOVAS_VESPERTINO,QT_VAGAS_NOVAS_VESPERTINO,QT_VAGAS_NOVAS_VESPERTINO,QT_VAGAS_NOVAS_VESPERTINO,QT_VAGAS_NOVAS_VESPERTINO,QT_VAGAS_NOVAS_VESPERTINO,,,,,
Places_new_evening,,,,,,,QT_VAGAS_NOVAS_NOTURNO,QT_VAGAS_NOVAS_NOTURNO,QT_VAGAS_NOVAS_NOTURNO,QT_VAGAS_NOVAS_NOTURNO,QT_VAGAS_NOVAS_NOTURNO,QT_VAGAS_NOVAS_NOTURNO,,,,,
Places_new_distance,,,,,,,QT_VAGAS_NOVAS_EAD,QT_VAGAS_NOVAS_EAD,QT_VAGAS_NOVAS_EAD,QT_VAGAS_NOVAS_EAD,QT_VAGAS_NOVAS_EAD,QT_VAGAS_NOVAS_EAD,,,,,
Places_remaining_full-time,,,,,,,QT_VAGAS_REMAN_INTEGRAL,QT_VAGAS_REMAN_INTEGRAL,QT_VAGAS_REMAN_INTEGRAL,QT_VAGAS_REMANESC_INTEGRAL,QT_VAGAS_REMANESC_INTEGRAL,QT_VAGAS_REMANESC_INTEGRAL,,,,,
Places_remaining_morning,,,,,,,QT_VAGAS_REMAN_MATUTINO,QT_VAGAS_REMAN_MATUTINO,QT_VAGAS_REMAN_MATUTINO,QT_VAGAS_REMANESC_MATUTINO,QT_VAGAS_REMANESC_MATUTINO,QT_VAGAS_REMANESC_MATUTINO,,,,,
Places_remaining_afternoon,,,,,,,QT_VAGAS_REMAN_VESPERTINO,QT_VAGAS_REMAN_VESPERTINO,QT_VAGAS_REMAN_VESPERTINO,QT_VAGAS_REMANESC_VESPERTINO,QT_VAGAS_REMANESC_VESPERTINO,QT_VAGAS_REMANESC_VESPERTINO,,,,,
Places_remaining_evening,,,,,,,QT_VAGAS_REMAN_NOTURNO,QT_VAGAS_REMAN_NOTURNO,QT_VAGAS_REMAN_NOTURNO,QT_VAGAS_REMANESC_NOTURNO,QT_VAGAS_REMANESC_NOTURNO,QT_VAGAS_REMANESC_NOTURNO,,,,,
Places_remaining_distance,,,,,,,QT_VAGAS_REMAN_EAD,QT_VAGAS_REMAN_EAD,QT_VAGAS_REMAN_EAD,QT_VAGAS_REMANESC_EAD,QT_VAGAS_REMANESC_EAD,QT_VAGAS_REMANESC_EAD,,,,,
Places_special_full-time,,,,,,,QT_VAGAS_PROG_ESP_INTEGRAL,QT_VAGAS_PROG_ESP_INTEGRAL,QT_VAGAS_PROG_ESP_INTEGRAL,QT_VAGAS_PROG_ESP_INTEGRAL,QT_VAGAS_PROG_ESP_INTEGRAL,QT_VAGAS_PROG_ESP_INTEGRAL,,,,,
Places_special_morning,,,,,,,QT_VAGAS_PROG_ESP_MATUTINO,QT_VAGAS_PROG_ESP_MATUTINO,QT_VAGAS_PROG_ESP_MATUTINO,QT_VAGAS_PROG_ESP_MATUTINO,QT_VAGAS_PROG_ESP_MATUTINO,QT_VAGAS_PROG_ESP_MATUTINO,,,,,
Places_special_afternoon,,,,,,,QT_VAGAS_PROG_ESP_VESPERTINO,QT_VAGAS_PROG_ESP_VESPERTINO,QT_VAGAS_PROG_ESP_VESPERTINO,QT_VAGAS_PROG_ESP_VESPERTINO,QT_VAGAS_PROG_ESP_VESPERTINO,QT_VAGAS_PROG_ESP_VESPERTINO,,,,,
Places_special_evening,,,,,,,QT_VAGAS_PROG_ESP_NOTURNO,QT_VAGAS_PROG_ESP_NOTURNO,QT_VAGAS_PROG_ESP_NOTURNO,QT_VAGAS_PROG_ESP_NOTURNO,QT_VAGAS_PROG_ESP_NOTURNO,QT_VAGAS_PROG_ESP_NOTURNO,,,,,
