Standard,ENG,POR,2020,2021,2022,2023,2024,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Staff_total,Staff_total,Técnicos_total,QT_TEC_TOTAL,QT_TEC_TOTAL,QT_TEC_TOTAL,QT_TEC_TOTAL,QT_TEC_TOTAL,QT_TEC_TOTAL,QT_TEC_TOTAL,QT_TEC_TOTAL,QT_TEC_TOTAL,QT_TEC_TOTAL,QT_TEC_TOTAL,QT_TEC_TOTAL,QT_TEC_TOTAL,QT_TEC_TOTAL,QT_TEC_TOTAL,QT_TEC_TOTAL
Staff_elem-school_fem,Staff_elem-school_fem,Técnicos_fund_incomp_fem,QT_TEC_FUNDAMENTAL_INCOMP_FEM,QT_TEC_FUNDAMENTAL_INCOMP_FEM,QT_TEC_FUNDAMENTAL_INCOMP_FEM,QT_TEC_FUNDAMENTAL_INCOMP_FEM,QT_TEC_FUNDAMENTAL_INCOMP_FEM,QT_TEC_FUNDAMENTAL_INCOMP_FEM,QT_TEC_FUNDAMENTAL_INCOMP_FEM,QT_TEC_FUNDAMENTAL_INCOMP_FEM,QT_TEC_FUND_INCOMP_FEM,QT_TEC_FUND_INCOMP_FEM,QT_TEC_FUND_INCOMP_FEM,QT_TEC_FUND_INCOMP_FEM,QT_TEC_FUND_INCOMP_FEM,QT_TEC_FUND_INCOMP_FEM,QT_TEC_FUND_INCOMP_FEM,QT_TEC_FUND_INCOMP_FEM
Staff_elem-school_male,Staff_elem-school_male,Técnicos_fund_incomp_masc,QT_TEC_FUNDAMENTAL_INCOMP_MASC,QT_TEC_FUNDAMENTAL_INCOMP_MASC,QT_TEC_FUNDAMENTAL_INCOMP_MASC,QT_TEC_FUNDAMENTAL_INCOMP_MASC,QT_TEC_FUNDAMENTAL_INCOMP_MASC,QT_TEC_FUNDAMENTAL_INCOMP_MASC,QT_TEC_FUNDAMENTAL_INCOMP_MASC,QT_TEC_FUNDAMENTAL_INCOMP_MASC,QT_TEC_FUND_INCOMP_MASC,QT_TEC_FUND_INCOMP_MASC,QT_TEC_FUND_INCOMP_MASC,QT_TEC_FUND_INCOMP_MASC,QT_TEC_FUND_INCOMP_MASC,QT_TEC_FUND_INCOMP_MASC,QT_TEC_FUND_INCOMP_MASC,QT_TEC_FUND_INCOMP_MASC
Staff_mid-school_fem,Staff_mid-school_fem,Técnicos_fund_com_fem,QT_TEC_FUNDAMENTAL_COMP_FEM,QT_TEC_FUNDAMENTAL_COMP_FEM,QT_TEC_FUNDAMENTAL_COMP_FEM,QT_TEC_FUNDAMENTAL_COMP_FEM,QT_TEC_FUNDAMENTAL_COMP_FEM,QT_TEC_FUNDAMENTAL_COMP_FEM,QT_TEC_FUNDAMENTAL_COMP_FEM,QT_TEC_FUNDAMENTAL_COMP_FEM,QT_TEC_FUND_COMP_FEM,QT_TEC_FUND_COMP_FEM,QT_TEC_FUND_COMP_FEM,QT_TEC_FUND_COMP_FEM,QT_TEC_FUND_COMP_FEM,QT_TEC_FUND_COMP_FEM,QT_TEC_FUND_COMP_FEM,QT_TEC_FUND_COMP_FEM
Staff_mid-school_male,Staff_mid-school_male,Técnicos_fund_comp_masc,QT_TEC_FUNDAMENTAL_COMP_MASC,QT_TEC_FUNDAMENTAL_COMP_MASC,QT_TEC_FUNDAMENTAL_COMP_MASC,QT_TEC_FUNDAMENTAL_COMP_MASC,QT_TEC_FUNDAMENTAL_COMP_MASC,QT_TEC_FUNDAMENTAL_COMP_MASC,QT_TEC_FUNDAMENTAL_COMP_MASC,QT_TEC_FUNDAMENTAL_COMP_MASC,QT_TEC_FUND_COMP_MASC,QT_TEC_FUND_COMP_MASC,QT_TEC_FUND_COMP_MASC,QT_TEC_FUND_COMP_MASC,QT_TEC_FUND_COMP_MASC,QT_TEC_FUND_COMP_MASC,QT_TEC_FUND_COMP_MASC,QT_TEC_FUND_COMP_MASC
Staff_high-school_fem,Staff_high-school_fem,Técnicos_médio_fem,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_FEM
Staff_high-school_male,Staff_high-school_male,Técnicos_médio_masc,QT_TEC_MEDIO_MASC,QT_TEC_MEDIO_MASC,QT_TEC_MEDIO_MASC,QT_TEC_MEDIO_MASC,QT_TEC_MEDIO_MASC,QT_TEC_MEDIO_MASC,QT_TEC_MEDIO_MASC,QT_TEC_MEDIO_MASC,QT_TEC_MEDIO_MASC,QT_TEC_MEDIO_MASC,QT_TEC_MEDIO_MASC,QT_TEC_MEDIO_MASC,QT_TEC_MEDIO_MASC,QT_TEC_MEDIO_MASC,QT_TEC_MEDIO_MASC,QT_TEC_MEDIO_MASC
Staff_bachelor_fem,Staff_bachelor_fem,Técnicos_grad_fem,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_FEM
Staff_bachelor_male,Staff_bachelor_male,Técnicos_grad_masc,QT_TEC_SUPERIOR_MASC,QT_TEC_SUPERIOR_MASC,QT_TEC_SUPERIOR_MASC,QT_TEC_SUPERIOR_MASC,QT_TEC_SUPERIOR_MASC,QT_TEC_SUPERIOR_MASC,QT_TEC_SUPERIOR_MASC,QT_TEC_SUPERIOR_MASC,QT_TEC_SUPERIOR_MASC,QT_TEC_SUPERIOR_MASC,QT_TEC_SUPERIOR_MASC,QT_TEC_SUPERIOR_MASC,QT_TEC_SUPERIOR_MASC,QT_TEC_SUPERIOR_MASC,QT_TEC_SUPERIOR_MASC,QT_TEC_SUPERIOR_MASC
Staff_specialist_fem,Staff_specialist_fem,Técnicos_specialização_fem,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_FEM
