ENG,POR,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Undeclared,N?o declarada,0,0,0,0,0,0,0,0,0,0,0
White,Branca,1,1,1,1,1,1,1,1,1,1,1
Black,Preta,2,2,2,2,2,2,2,2,2,2,2
Brown,Parda,3,3,3,3,3,3,3,3,3,3,3
Yellow,Amarela,4,4,4,4,4,4,4,4,4,4,4
Indigenous,Indígena,5,5,5,5,5,5,5,5,5,5,5
Not available,N?o Disponível,6,6,6,6,6,6,6,,,9,9
